id	pop
AC_yc2013_98_sweden	sweden
AC_yc2013_99_sweden	sweden
AC_yc2013_100_sweden	sweden
AC_yc2013_101_sweden	sweden
AC_yc2013_102_sweden	sweden
AC_yc2013_103_sweden	sweden
AC_yc2013_104_sweden	sweden
AC_yc2013_105_sweden	sweden
AC_yc2013_106_sweden	sweden
AC_yc2013_107_sweden	sweden
AC_yc2013_108_sweden	sweden
AC_yc2013_109_sweden	sweden
AC_yc2013_110_sweden	sweden
AC_yc2013_111_sweden	sweden
AC_yc2013_112_sweden	sweden
AC_yc2013_113_sweden	sweden
AC_yc2013_114_sweden	sweden
AC_yc2013_115_sweden	sweden
AC_yc2013_116_sweden	sweden
AC_yc2013_117_sweden	sweden
AC_yc2013_118_sweden	sweden
AC_yc2013_119_sweden	sweden
AC_yc2013_120_sweden	sweden
AC_yc2013_121_sweden	sweden
AC_yc2013_122_sweden	sweden
AC_yc2013_123_sweden	sweden
AC_yc2013_124_sweden	sweden
AC_yc2013_125_sweden	sweden
AC_yc2013_126_sweden	sweden
AC_yc2013_127_sweden	sweden
AC_yc2013_128_sweden	sweden
AC_yc2013_129_sweden	sweden
AC_yc2013_130_sweden	sweden
AC_yc2013_131_sweden	sweden
AC_yc2013_132_sweden	sweden
AC_yc2013_133_sweden	sweden
AC_yc2013_134_sweden	sweden
AC_yc2013_135_sweden	sweden
AC_yc2013_136_sweden	sweden
AC_yc2013_137_sweden	sweden
AC_yc2013_138_sweden	sweden
AC_yc2013_139_sweden	sweden
AC_yc2013_140_sweden	sweden
AC_yc2013_141_sweden	sweden
AC_yc2013_142_sweden	sweden
AC_yc2013_143_sweden	sweden
AC_yc2013_144_sweden	sweden
AC_yc2013_145_sweden	sweden
AC_yc2013_146_sweden	sweden
AC_yc2013_147_sweden	sweden
AC_yc2013_148_sweden	sweden
AC_yc2013_149_sweden	sweden
AC_yc2013_150_sweden	sweden
AC_yc2013_151_sweden	sweden
AC_yc2013_152_sweden	sweden
AC_yc2013_153_sweden	sweden
AC_yc2013_154_sweden	sweden
AC_yc2013_155_sweden	sweden
AC_yc2013_156_sweden	sweden
AC_yc2013_157_sweden	sweden
AC_yc2013_158_sweden	sweden
AC_yc2013_159_sweden	sweden
AC_yc2013_160_sweden	sweden
AC_yc2013_161_sweden	sweden
AC_yc2013_162_sweden	sweden
AC_yc2013_163_sweden	sweden
AC_yc2013_164_sweden	sweden
AC_yc2013_165_sweden	sweden
AC_yc2013_166_sweden	sweden
AC_yc2013_167_sweden	sweden
AC_yc2013_168_sweden	sweden
AC_yc2013_169_sweden	sweden
AC_yc2013_170_sweden	sweden
AC_yc2013_171_sweden	sweden
AC_yc2013_172_sweden	sweden
AC_yc2013_173_sweden	sweden
AC_yc2013_174_sweden	sweden
AC_yc2013_175_sweden	sweden
AC_yc2013_176_sweden	sweden
AC_yc2013_177_sweden	sweden
AC_yc2013_178_sweden	sweden
AC_yc2013_179_sweden	sweden
AC_yc2013_180_sweden	sweden
AC_yc2013_181_sweden	sweden
AC_yc2013_182_sweden	sweden
AC_yc2013_183_sweden	sweden
AC_yc2013_184_sweden	sweden
AC_yc2013_185_sweden	sweden
AC_yc2013_186_sweden	sweden
AC_yc2013_187_sweden	sweden
AC_yc2013_188_sweden	sweden
AC_yc2013_189_sweden	sweden
AC_yc2013_190_sweden	sweden
AC_yc2013_191_sweden	sweden
AC_yc2013_192_sweden	sweden
AC_yc2013_193_sweden	sweden
AC_yc2013_194_sweden	sweden
AC_yc2013_195_sweden	sweden
AC_yc2013_196_sweden	sweden
AC_yc2013_197_sweden	sweden
AC_yc2013_198_sweden	sweden
AC_yc2013_199_sweden	sweden
AC_yc2013_200_sweden	sweden
AC_yc2013_201_sweden	sweden
AC_yc2013_202_sweden	sweden
AC_yc2013_203_sweden	sweden
AC_yc2013_204_sweden	sweden
AC_yc2013_205_sweden	sweden
AC_yc2013_206_sweden	sweden
AC_yc2013_207_sweden	sweden
AC_yc2013_208_sweden	sweden
AC_yc2013_209_sweden	sweden
AC_yc2013_210_sweden	sweden
AC_yc2013_211_sweden	sweden
AC_yc2013_212_sweden	sweden
AC_yc2013_213_sweden	sweden
AC_yc2013_214_sweden	sweden
AC_yc2013_215_sweden	sweden
AC_yc2013_216_sweden	sweden
AC_yc2013_217_sweden	sweden
AC_yc2013_218_sweden	sweden
AC_yc2013_219_sweden	sweden
AC_yc2013_220_sweden	sweden
AC_yc2013_221_sweden	sweden
AC_yc2013_222_sweden	sweden
AC_yc2013_223_sweden	sweden
AC_yc2013_224_sweden	sweden
AC_yc2013_225_sweden	sweden
AC_yc2013_226_sweden	sweden
AC_yc2013_227_sweden	sweden
AC_yc2013_228_sweden	sweden
AC_yc2013_229_sweden	sweden
AC_yc2013_230_sweden	sweden
AC_yc2013_231_sweden	sweden
AC_yc2013_232_sweden	sweden
AC_yc2013_233_sweden	sweden
AC_yc2013_234_sweden	sweden
AC_yc2013_235_sweden	sweden
AC_yc2013_236_sweden	sweden
AC_yc2013_237_sweden	sweden
AC_yc2013_238_sweden	sweden
AC_yc2013_239_sweden	sweden
AC_yc2013_240_sweden	sweden
AC_yc2013_241_sweden	sweden
AC_yc2013_242_sweden	sweden
AC_yc2013_243_sweden	sweden
AC_yc2013_244_sweden	sweden
AC_yc2013_245_sweden	sweden
AC_yc2013_246_sweden	sweden
AC_yc2013_247_sweden	sweden
AC_yc2013_248_sweden	sweden
AC_yc2013_249_sweden	sweden
AC_yc2013_250_sweden	sweden
AC_yc2013_251_sweden	sweden
