id	pop
AC_yc2013_98_sweden	Sweden
AC_yc2013_99_sweden	Sweden
AC_yc2013_100_sweden	Sweden
AC_yc2013_101_sweden	Sweden
AC_yc2013_102_sweden	Sweden
AC_yc2013_103_sweden	Sweden
AC_yc2013_104_sweden	Sweden
AC_yc2013_105_sweden	Sweden
AC_yc2013_106_sweden	Sweden
AC_yc2013_107_sweden	Sweden
AC_yc2013_108_sweden	Sweden
AC_yc2013_109_sweden	Sweden
AC_yc2013_110_sweden	Sweden
AC_yc2013_111_sweden	Sweden
AC_yc2013_112_sweden	Sweden
AC_yc2013_113_sweden	Sweden
AC_yc2013_114_sweden	Sweden
AC_yc2013_115_sweden	Sweden
AC_yc2013_116_sweden	Sweden
AC_yc2013_117_sweden	Sweden
AC_yc2013_118_sweden	Sweden
AC_yc2013_119_sweden	Sweden
AC_yc2013_120_sweden	Sweden
AC_yc2013_121_sweden	Sweden
AC_yc2013_122_sweden	Sweden
AC_yc2013_123_sweden	Sweden
AC_yc2013_124_sweden	Sweden
AC_yc2013_125_sweden	Sweden
AC_yc2013_126_sweden	Sweden
AC_yc2013_127_sweden	Sweden
AC_yc2013_128_sweden	Sweden
AC_yc2013_129_sweden	Sweden
AC_yc2013_130_sweden	Sweden
AC_yc2013_131_sweden	Sweden
AC_yc2013_132_sweden	Sweden
AC_yc2013_133_sweden	Sweden
AC_yc2013_134_sweden	Sweden
AC_yc2013_135_sweden	Sweden
AC_yc2013_136_sweden	Sweden
AC_yc2013_137_sweden	Sweden
AC_yc2013_138_sweden	Sweden
AC_yc2013_139_sweden	Sweden
AC_yc2013_140_sweden	Sweden
AC_yc2013_141_sweden	Sweden
AC_yc2013_142_sweden	Sweden
AC_yc2013_143_sweden	Sweden
AC_yc2013_144_sweden	Sweden
AC_yc2013_145_sweden	Sweden
AC_yc2013_146_sweden	Sweden
AC_yc2013_147_sweden	Sweden
AC_yc2013_148_sweden	Sweden
AC_yc2013_149_sweden	Sweden
AC_yc2013_150_sweden	Sweden
AC_yc2013_151_sweden	Sweden
AC_yc2013_152_sweden	Sweden
AC_yc2013_154_sweden	Sweden
AC_yc2013_155_sweden	Sweden
AC_yc2013_156_sweden	Sweden
AC_yc2013_157_sweden	Sweden
AC_yc2013_158_sweden	Sweden
AC_yc2013_159_sweden	Sweden
AC_yc2013_160_sweden	Sweden
AC_yc2013_161_sweden	Sweden
AC_yc2013_162_sweden	Sweden
AC_yc2013_163_sweden	Sweden
AC_yc2013_164_sweden	Sweden
AC_yc2013_165_sweden	Sweden
AC_yc2013_166_sweden	Sweden
AC_yc2013_167_sweden	Sweden
AC_yc2013_168_sweden	Sweden
AC_yc2013_169_sweden	Sweden
AC_yc2013_170_sweden	Sweden
AC_yc2013_171_sweden	Sweden
AC_yc2013_172_sweden	Sweden
AC_yc2013_173_sweden	Sweden
AC_yc2013_174_sweden	Sweden
AC_yc2013_175_sweden	Sweden
AC_yc2013_177_sweden	Sweden
AC_yc2013_178_sweden	Sweden
AC_yc2013_179_sweden	Sweden
AC_yc2013_180_sweden	Sweden
AC_yc2013_181_sweden	Sweden
AC_yc2013_182_sweden	Sweden
AC_yc2013_183_sweden	Sweden
AC_yc2013_184_sweden	Sweden
AC_yc2013_185_sweden	Sweden
AC_yc2013_186_sweden	Sweden
AC_yc2013_187_sweden	Sweden
AC_yc2013_188_sweden	Sweden
AC_yc2013_189_sweden	Sweden
AC_yc2013_190_sweden	Sweden
AC_yc2013_191_sweden	Sweden
AC_yc2013_192_sweden	Sweden
AC_yc2013_193_sweden	Sweden
AC_yc2013_194_sweden	Sweden
AC_yc2013_195_sweden	Sweden
AC_yc2013_196_sweden	Sweden
AC_yc2013_197_sweden	Sweden
AC_yc2013_199_sweden	Sweden
AC_yc2013_200_sweden	Sweden
AC_yc2013_201_sweden	Sweden
AC_yc2013_202_sweden	Sweden
AC_yc2013_203_sweden	Sweden
AC_yc2013_204_sweden	Sweden
AC_yc2013_205_sweden	Sweden
AC_yc2013_206_sweden	Sweden
AC_yc2013_208_sweden	Sweden
AC_yc2013_209_sweden	Sweden
AC_yc2013_210_sweden	Sweden
AC_yc2013_211_sweden	Sweden
AC_yc2013_212_sweden	Sweden
AC_yc2013_213_sweden	Sweden
AC_yc2013_214_sweden	Sweden
AC_yc2013_215_sweden	Sweden
AC_yc2013_216_sweden	Sweden
AC_yc2013_217_sweden	Sweden
AC_yc2013_218_sweden	Sweden
AC_yc2013_219_sweden	Sweden
AC_yc2013_220_sweden	Sweden
AC_yc2013_221_sweden	Sweden
AC_yc2013_222_sweden	Sweden
AC_yc2013_223_sweden	Sweden
AC_yc2013_224_sweden	Sweden
AC_yc2013_225_sweden	Sweden
AC_yc2013_226_sweden	Sweden
AC_yc2013_227_sweden	Sweden
AC_yc2013_228_sweden	Sweden
AC_yc2013_229_sweden	Sweden
AC_yc2013_230_sweden	Sweden
AC_yc2013_231_sweden	Sweden
AC_yc2013_232_sweden	Sweden
AC_yc2013_233_sweden	Sweden
AC_yc2013_234_sweden	Sweden
AC_yc2013_235_sweden	Sweden
AC_yc2013_236_sweden	Sweden
AC_yc2013_237_sweden	Sweden
AC_yc2013_238_sweden	Sweden
AC_yc2013_239_sweden	Sweden
AC_yc2013_240_sweden	Sweden
AC_yc2013_241_sweden	Sweden
AC_yc2013_242_sweden	Sweden
AC_yc2013_243_sweden	Sweden
AC_yc2013_244_sweden	Sweden
AC_yc2013_245_sweden	Sweden
AC_yc2013_246_sweden	Sweden
AC_yc2013_247_sweden	Sweden
AC_yc2013_248_sweden	Sweden
AC_yc2013_249_sweden	Sweden
AC_yc2013_250_sweden	Sweden
